"indicator_id","indicator","unit","indicator_desc","source_org","source_id","source"
"1.1_ACCESS.ELECTRICITY.TOT","Access to electricity (% of total population)",NA,"Access to electricity is the percentage of population with access to electricity.","World Bank Global Electrification Database 2012",35,"Sustainable Energy for All"
"1.1_TOTAL.FINAL.ENERGY.CONSUM","Total final energy consumption (TFEC)",NA,"Total final energy consumption (TFEC): This indicator is derived form energy balances statistics and is equivalent to total final consumption excluding non-energy use.","World Bank and International Energy Agency (IEA Statistics © OECD/IEA, http://www.iea.org/stats/index.asp).",35,"Sustainable Energy for All"
"1.2_ACCESS.ELECTRICITY.RURAL","Access to electricity (% of rural population)",NA,"Access to electricity is the percentage of rural population with access to electricity.","World Bank Global Electrification Database 2013",35,"Sustainable Energy for All"
"1.3_ACCESS.ELECTRICITY.URBAN","Access to electricity (% of urban population)",NA,"Access to electricity is the percentage of total population with access to electricity.","World Bank Global Electrification Database 2014",35,"Sustainable Energy for All"
"2.1_SHARE.TOTAL.RE.IN.TFEC","Renewable energy consumption(% in TFEC)",NA,"Renewable energy consumption(% in TFEC): Share of renewables energy in total final energy consumption","World Bank and International Energy Agency (IEA Statistics © OECD/IEA, http://www.iea.org/stats/index.asp).",35,"Sustainable Energy for All"
"3.1_RE.CONSUMPTION","Renewable energy consumption (TJ)",NA,"Renewable energy consumption (TJ): This indicator includes renewable energy consumption of all technologies: hydro, modern and traditional biomass, wind, solar, liquid biofuels, biogas, geothermal, marine and waste","World Bank and International Energy Agency (IEA Statistics © OECD/IEA, http://www.iea.org/stats/index.asp).",35,"Sustainable Energy for All"
"4.1.1_TOTAL.ELECTRICITY.OUTPUT","Total electricity output (GWh)",NA,"Total electricity output (GWh): Total number of GWh generated by all power plants","World Bank and International Energy Agency (IEA Statistics © OECD/IEA, http://www.iea.org/stats/index.asp).",35,"Sustainable Energy for All"
"4.1.2_REN.ELECTRICITY.OUTPUT","Renewable energy electricity output (GWh)",NA,"Renewable energy electricity output (GWh): Total number of GWh generated by renewable power plants, including wind, solar PV, solar thermal, hydro, marine, geothermal, biomass, renewable municipal waste, liquid biofuels and biogas. Electricity production for hydro pumpted storage is excluded.","World Bank and International Energy Agency (IEA Statistics © OECD/IEA, http://www.iea.org/stats/index.asp).",35,"Sustainable Energy for All"
"4.1_SHARE.RE.IN.ELECTRICITY","Renewable electricity (% in total electricity output)",NA,"Renewable electricity (% in total electricity output): Share of electrity generated by renewable power plants in total electricity generated by all types of plants","World Bank and International Energy Agency (IEA Statistics © OECD/IEA, http://www.iea.org/stats/index.asp).",35,"Sustainable Energy for All"
"6.1_PRIMARY.ENERGY.INTENSITY","Energy intensity level of primary energy (MJ/$2005 PPP)",NA,"Energy intensity level of primary energy (MJ/$2005 PPP): A ratio between energy supply and gross domestic product measured at purchasing power parity. Energy intensity is an indication of how much energy is used to produce one unit of economic output. Lower ratio indicates that less energy is used to produce one unit of output.","World Bank and International Energy Agency (IEA Statistics © OECD/IEA, http://www.iea.org/stats/index.asp).",35,"Sustainable Energy for All"
"AG.CON.FERT.ZS","Fertilizer consumption (kilograms per hectare of arable land)",NA,"Fertilizer consumption measures the quantity of plant nutrients used per unit of arable land. Fertilizer products cover nitrogenous, potash, and phosphate fertilizers (including ground rock phosphate). Traditional nutrients--animal and plant manures--are not included. For the purpose of data dissemination, FAO has adopted the concept of a calendar year (January to December). Some countries compile fertilizer data on a calendar year basis, while others are on a split-year basis. Arable land includes land defined by the FAO as land under temporary crops (double-cropped areas are counted once), temporary meadows for mowing or for pasture, land under market or kitchen gardens, and land temporarily fallow. Land abandoned as a result of shifting cultivation is excluded.","Food and Agriculture Organization, electronic files and web site.",2,"World Development Indicators"
"AG.LND.AGRI.K2","Agricultural land (sq. km)",NA,"Agricultural land refers to the share of land area that is arable, under permanent crops, and under permanent pastures. Arable land includes land defined by the FAO as land under temporary crops (double-cropped areas are counted once), temporary meadows for mowing or for pasture, land under market or kitchen gardens, and land temporarily fallow. Land abandoned as a result of shifting cultivation is excluded. Land under permanent crops is land cultivated with crops that occupy the land for long periods and need not be replanted after each harvest, such as cocoa, coffee, and rubber. This category includes land under flowering shrubs, fruit trees, nut trees, and vines, but excludes land under trees grown for wood or timber. Permanent pasture is land used for five or more years for forage, including natural and cultivated crops.","Food and Agriculture Organization, electronic files and web site.",2,"World Development Indicators"
